Time [S]	Voltage [V]	Current [A]	
#Sweep: 000
7.476E-1	2.013E-2	1.273E-11	
1.641E+0	6.038E-2	-7.857E-12	
1.970E+0	1.006E-1	8.356E-12	
2.241E+0	1.409E-1	8.079E-12	
2.540E+0	1.811E-1	1.013E-11	
2.838E+0	2.214E-1	8.742E-12	
3.144E+0	2.616E-1	6.576E-12	
3.500E+0	3.019E-1	8.944E-12	
4.039E+0	3.421E-1	7.027E-14	
4.341E+0	3.824E-1	6.614E-12	
4.664E+0	4.226E-1	7.123E-12	
4.944E+0	4.629E-1	1.163E-11	
5.276E+0	5.031E-1	1.311E-11	
5.543E+0	5.434E-1	1.628E-11	
5.855E+0	5.836E-1	1.496E-11	
6.145E+0	6.239E-1	1.370E-11	
6.451E+0	6.642E-1	1.015E-11	
6.746E+0	7.044E-1	1.464E-11	
7.069E+0	7.447E-1	1.300E-11	
7.354E+0	7.849E-1	1.532E-11	
7.644E+0	8.252E-1	1.600E-11	
7.942E+0	8.654E-1	1.423E-11	
8.242E+0	9.057E-1	1.286E-11	
8.543E+0	9.459E-1	1.327E-11	
8.840E+0	9.862E-1	1.259E-11	
9.161E+0	1.026E+0	1.751E-11	
9.438E+0	1.067E+0	1.805E-11	
9.772E+0	1.107E+0	2.534E-11	
1.004E+1	1.147E+0	2.311E-11	
1.034E+1	1.187E+0	1.969E-11	
1.065E+1	1.228E+0	1.915E-11	
1.094E+1	1.268E+0	1.778E-11	
1.126E+1	1.308E+0	3.348E-11	
1.154E+1	1.348E+0	2.434E-11	
1.187E+1	1.389E+0	2.325E-11	
1.217E+1	1.429E+0	2.940E-11	
1.244E+1	1.469E+0	3.376E-11	
1.274E+1	1.509E+0	2.844E-11	
1.313E+1	1.550E+0	3.117E-11	
1.334E+1	1.590E+0	5.672E-11	
1.367E+1	1.630E+0	4.169E-11	
1.394E+1	1.670E+0	4.278E-11	
1.424E+1	1.711E+0	4.988E-11	
1.456E+1	1.751E+0	7.025E-11	
1.485E+1	1.791E+0	7.215E-11	
1.514E+1	1.831E+0	7.776E-11	
1.545E+1	1.872E+0	8.254E-11	
1.635E+1	1.912E+0	4.913E-10	
1.667E+1	1.952E+0	4.094E-10	
1.694E+1	1.992E+0	4.508E-10	
1.727E+1	2.033E+0	5.232E-10	
1.761E+1	2.073E+0	5.648E-10	
1.784E+1	2.113E+0	6.577E-10	
1.820E+1	2.153E+0	7.726E-10	
1.916E+1	2.194E+0	5.507E-4	
1.937E+1	2.234E+0	5.772E-4	
1.965E+1	2.274E+0	6.065E-4	
2.083E+1	2.314E+0	5.952E-10	
2.215E+1	2.355E+0	8.740E-8	
2.250E+1	2.395E+0	7.678E-8	
2.264E+1	2.435E+0	6.416E-8	
2.306E+1	2.475E+0	1.329E-7	
2.324E+1	2.516E+0	1.167E-7	
2.354E+1	2.556E+0	1.264E-7	
2.385E+1	2.596E+0	1.487E-7	
2.414E+1	2.636E+0	1.693E-7	
2.446E+1	2.677E+0	2.105E-7	
2.489E+1	2.717E+0	6.266E-8	
2.505E+1	2.757E+0	6.034E-8	
2.544E+1	2.797E+0	1.729E-7	
2.565E+1	2.838E+0	1.518E-7	
2.595E+1	2.878E+0	2.438E-7	
2.624E+1	2.918E+0	2.201E-7	
2.654E+1	2.958E+0	2.731E-7	
2.684E+1	2.999E+0	2.722E-7	
2.714E+1	3.039E+0	2.968E-7	
2.744E+1	3.079E+0	2.841E-7	
2.774E+1	3.119E+0	2.462E-7	
2.808E+1	3.160E+0	3.071E-7	
2.834E+1	3.200E+0	4.739E-7	
#Sweep: 001
2.864E+1	3.200E+0	9.667E-7	
2.894E+1	3.160E+0	4.409E-7	
2.924E+1	3.119E+0	5.164E-7	
2.954E+1	3.079E+0	4.123E-7	
2.985E+1	3.039E+0	4.067E-7	
3.014E+1	2.999E+0	5.258E-7	
3.046E+1	2.958E+0	5.222E-7	
3.074E+1	2.918E+0	4.915E-7	
3.104E+1	2.878E+0	3.093E-7	
3.134E+1	2.838E+0	3.794E-7	
3.164E+1	2.797E+0	2.881E-7	
3.194E+1	2.757E+0	2.675E-7	
3.224E+1	2.717E+0	2.778E-7	
3.254E+1	2.677E+0	2.838E-7	
3.284E+1	2.636E+0	2.688E-7	
3.314E+1	2.596E+0	2.476E-7	
3.344E+1	2.556E+0	2.032E-7	
3.374E+1	2.516E+0	1.875E-7	
3.405E+1	2.475E+0	1.732E-7	
3.434E+1	2.435E+0	1.622E-7	
3.464E+1	2.395E+0	1.489E-7	
3.494E+1	2.355E+0	1.445E-7	
3.525E+1	2.314E+0	1.327E-7	
3.554E+1	2.274E+0	1.222E-7	
3.584E+1	2.234E+0	1.146E-7	
3.614E+1	2.194E+0	1.025E-7	
3.659E+1	2.153E+0	9.464E-8	
3.675E+1	2.113E+0	8.789E-8	
3.706E+1	2.073E+0	8.057E-8	
3.734E+1	2.033E+0	8.298E-8	
3.764E+1	1.992E+0	7.511E-8	
3.794E+1	1.952E+0	7.298E-8	
3.824E+1	1.912E+0	7.133E-8	
3.854E+1	1.872E+0	6.641E-8	
3.884E+1	1.831E+0	6.025E-8	
3.914E+1	1.791E+0	5.617E-8	
3.944E+1	1.751E+0	5.222E-8	
3.975E+1	1.711E+0	4.752E-8	
4.005E+1	1.670E+0	4.243E-8	
4.035E+1	1.630E+0	3.905E-8	
4.064E+1	1.590E+0	3.651E-8	
4.094E+1	1.550E+0	3.500E-8	
4.124E+1	1.509E+0	3.093E-8	
4.154E+1	1.469E+0	2.872E-8	
4.185E+1	1.429E+0	2.667E-8	
4.215E+1	1.389E+0	2.490E-8	
4.244E+1	1.348E+0	2.252E-8	
4.274E+1	1.308E+0	2.119E-8	
4.304E+1	1.268E+0	1.825E-8	
4.334E+1	1.228E+0	1.564E-8	
4.365E+1	1.187E+0	1.418E-8	
4.394E+1	1.147E+0	1.306E-8	
4.426E+1	1.107E+0	1.194E-8	
4.454E+1	1.067E+0	1.056E-8	
4.499E+1	1.026E+0	6.439E-9	
4.514E+1	9.862E-1	5.991E-9	
4.551E+1	9.459E-1	5.389E-9	
4.574E+1	9.057E-1	4.793E-9	
4.604E+1	8.654E-1	4.854E-9	
4.634E+1	8.252E-1	4.243E-9	
4.664E+1	7.849E-1	3.911E-9	
4.694E+1	7.447E-1	2.986E-9	
4.726E+1	7.044E-1	2.872E-9	
4.754E+1	6.642E-1	2.201E-9	
4.785E+1	6.239E-1	1.896E-9	
4.815E+1	5.836E-1	1.795E-9	
4.847E+1	5.434E-1	1.381E-9	
4.874E+1	5.031E-1	1.111E-9	
4.978E+1	4.629E-1	7.498E-10	
5.099E+1	4.226E-1	6.767E-10	
5.176E+1	3.824E-1	8.736E-10	
5.208E+1	3.421E-1	6.527E-10	
5.235E+1	3.019E-1	5.232E-10	
5.264E+1	2.616E-1	3.506E-10	
5.294E+1	2.214E-1	2.386E-10	
5.324E+1	1.811E-1	1.597E-10	
5.414E+1	1.409E-1	2.077E-11	
5.444E+1	1.006E-1	-2.168E-12	
5.474E+1	6.038E-2	-1.607E-11	
5.507E+1	2.013E-2	-2.499E-11	
5.536E+1	-2.013E-2	-3.167E-11	
5.567E+1	-6.038E-2	-3.978E-11	
5.595E+1	-1.006E-1	-4.473E-11	
5.624E+1	-1.409E-1	-5.355E-11	
5.654E+1	-1.811E-1	-8.498E-11	
5.684E+1	-2.214E-1	-7.292E-11	
5.715E+1	-2.616E-1	-8.452E-11	
5.745E+1	-3.019E-1	-9.559E-11	
5.834E+1	-3.421E-1	-3.066E-10	
5.866E+1	-3.824E-1	-3.371E-10	
5.895E+1	-4.226E-1	-3.774E-10	
5.927E+1	-4.629E-1	-4.330E-10	
5.959E+1	-5.031E-1	-4.392E-10	
5.984E+1	-5.434E-1	-5.055E-10	
6.015E+1	-5.836E-1	-5.344E-10	
6.044E+1	-6.239E-1	-4.578E-10	
6.074E+1	-6.642E-1	-5.059E-10	
6.114E+1	-7.044E-1	-5.466E-10	
6.135E+1	-7.447E-1	-6.272E-10	
6.168E+1	-7.849E-1	-6.442E-10	
6.194E+1	-8.252E-1	-6.449E-10	
6.224E+1	-8.654E-1	-6.406E-10	
6.255E+1	-9.057E-1	-6.312E-10	
6.284E+1	-9.459E-1	-6.756E-10	
6.315E+1	-9.862E-1	-6.467E-10	
6.344E+1	-1.026E+0	-6.199E-10	
6.379E+1	-1.067E+0	-5.357E-10	
6.415E+1	-1.107E+0	-5.767E-10	
6.434E+1	-1.147E+0	-7.054E-10	
6.464E+1	-1.187E+0	-6.834E-10	
6.494E+1	-1.228E+0	-6.779E-10	
6.525E+1	-1.268E+0	-6.859E-10	
6.554E+1	-1.308E+0	-8.206E-10	
6.589E+1	-1.348E+0	-8.062E-10	
6.631E+1	-1.389E+0	-6.858E-10	
6.704E+1	-1.429E+0	-8.181E-10	
6.734E+1	-1.469E+0	-8.580E-10	
6.779E+1	-1.509E+0	-7.413E-10	
6.854E+1	-1.550E+0	-8.696E-10	
6.884E+1	-1.590E+0	-9.946E-10	
6.932E+1	-1.630E+0	-9.093E-10	
7.004E+1	-1.670E+0	-9.892E-10	
7.048E+1	-1.711E+0	-7.231E-10	
7.143E+1	-1.751E+0	-8.582E-10	
7.258E+1	-1.791E+0	-8.565E-10	
7.348E+1	-1.831E+0	-8.533E-10	
7.439E+1	-1.872E+0	-6.425E-10	
7.514E+1	-1.912E+0	-8.833E-10	
7.559E+1	-1.952E+0	-7.578E-10	
7.650E+1	-1.992E+0	-7.161E-10	
7.739E+1	-2.033E+0	-9.094E-10	
7.830E+1	-2.073E+0	-1.170E-9	
7.920E+1	-2.113E+0	-7.535E-10	
8.038E+1	-2.153E+0	-8.465E-10	
8.054E+1	-2.194E+0	-1.009E-9	
8.159E+1	-2.234E+0	-7.923E-10	
8.235E+1	-2.274E+0	-9.686E-10	
8.279E+1	-2.314E+0	-8.142E-10	
8.368E+1	-2.355E+0	-9.507E-10	
8.459E+1	-2.395E+0	-7.928E-10	
8.567E+1	-2.435E+0	-8.189E-10	
8.668E+1	-2.475E+0	-1.273E-9	
8.685E+1	-2.516E+0	-1.410E-9	
8.714E+1	-2.556E+0	-1.183E-9	
8.745E+1	-2.596E+0	-1.364E-9	
8.774E+1	-2.636E+0	-1.262E-9	
8.807E+1	-2.677E+0	-1.200E-9	
8.834E+1	-2.717E+0	-1.240E-9	
8.866E+1	-2.757E+0	-1.944E-9	
8.895E+1	-2.797E+0	-1.888E-9	
8.925E+1	-2.838E+0	-2.036E-9	
8.954E+1	-2.878E+0	-2.241E-9	
8.985E+1	-2.918E+0	-2.722E-9	
9.014E+1	-2.958E+0	-2.608E-9	
9.044E+1	-2.999E+0	-4.476E-9	
9.074E+1	-3.039E+0	-4.203E-9	
9.104E+1	-3.079E+0	-3.351E-9	
9.135E+1	-3.119E+0	-3.624E-9	
9.164E+1	-3.160E+0	-3.946E-9	
9.195E+1	-3.200E+0	-4.923E-9	
#Sweep: 002
9.225E+1	-3.200E+0	-4.076E-9	
9.254E+1	-3.160E+0	-3.955E-9	
9.284E+1	-3.119E+0	-4.104E-9	
9.315E+1	-3.079E+0	-2.896E-9	
9.346E+1	-3.039E+0	-2.583E-9	
9.376E+1	-2.999E+0	-2.635E-9	
9.408E+1	-2.958E+0	-2.390E-9	
9.434E+1	-2.918E+0	-1.993E-9	
9.464E+1	-2.878E+0	-1.649E-9	
9.494E+1	-2.838E+0	-1.681E-9	
9.526E+1	-2.797E+0	-1.422E-9	
9.554E+1	-2.757E+0	-1.510E-9	
9.584E+1	-2.717E+0	-1.338E-9	
9.614E+1	-2.677E+0	-1.220E-9	
9.646E+1	-2.636E+0	-1.081E-9	
9.750E+1	-2.596E+0	-9.574E-10	
9.838E+1	-2.556E+0	-7.934E-10	
9.914E+1	-2.516E+0	-9.715E-10	
9.944E+1	-2.475E+0	-8.561E-10	
9.975E+1	-2.435E+0	-7.508E-10	
1.000E+2	-2.395E+0	-6.588E-10	
1.003E+2	-2.355E+0	-6.012E-10	
1.006E+2	-2.314E+0	-5.493E-10	
1.009E+2	-2.274E+0	-5.129E-10	
1.012E+2	-2.234E+0	-4.690E-10	
1.015E+2	-2.194E+0	-4.267E-10	
1.018E+2	-2.153E+0	-4.161E-10	
1.021E+2	-2.113E+0	-3.724E-10	
1.024E+2	-2.073E+0	-3.136E-10	
1.028E+2	-2.033E+0	-2.888E-10	
1.030E+2	-1.992E+0	-2.525E-10	
1.033E+2	-1.952E+0	-2.225E-10	
1.037E+2	-1.912E+0	-2.168E-10	
1.039E+2	-1.872E+0	-1.907E-10	
1.042E+2	-1.831E+0	-1.630E-10	
1.045E+2	-1.791E+0	-1.176E-10	
1.055E+2	-1.751E+0	-5.530E-11	
1.058E+2	-1.711E+0	-2.115E-11	
1.060E+2	-1.670E+0	-2.145E-11	
1.064E+2	-1.630E+0	-2.607E-11	
1.066E+2	-1.590E+0	-1.610E-11	
1.069E+2	-1.550E+0	-1.719E-11	
1.073E+2	-1.509E+0	-1.050E-11	
1.075E+2	-1.469E+0	-8.608E-12	
1.078E+2	-1.429E+0	-7.900E-12	
1.082E+2	-1.389E+0	-2.164E-12	
1.084E+2	-1.348E+0	3.710E-12	
1.087E+2	-1.308E+0	2.949E-13	
1.091E+2	-1.268E+0	-5.172E-12	
1.094E+2	-1.228E+0	5.896E-12	
1.097E+2	-1.187E+0	-2.304E-12	
1.099E+2	-1.147E+0	9.745E-13	
1.103E+2	-1.107E+0	1.969E-14	
1.105E+2	-1.067E+0	7.672E-12	
1.109E+2	-1.026E+0	5.483E-12	
1.112E+2	-9.862E-1	1.177E-11	
1.114E+2	-9.459E-1	1.860E-11	
1.117E+2	-9.057E-1	1.232E-11	
1.121E+2	-8.654E-1	3.210E-12	
1.123E+2	-8.252E-1	1.108E-11	
1.126E+2	-7.849E-1	1.067E-11	
1.129E+2	-7.447E-1	1.154E-11	
1.132E+2	-7.044E-1	1.211E-11	
1.135E+2	-6.642E-1	1.552E-11	
1.138E+2	-6.239E-1	3.458E-11	
1.141E+2	-5.836E-1	1.963E-11	
1.144E+2	-5.434E-1	1.136E-11	
1.148E+2	-5.031E-1	1.354E-11	
1.150E+2	-4.629E-1	1.684E-11	
1.153E+2	-4.226E-1	1.450E-11	
1.156E+2	-3.824E-1	1.409E-11	
1.159E+2	-3.421E-1	1.573E-11	
1.162E+2	-3.019E-1	1.423E-11	
1.165E+2	-2.616E-1	1.491E-11	
1.168E+2	-2.214E-1	1.491E-11	
1.171E+2	-1.811E-1	1.587E-11	
1.175E+2	-1.409E-1	1.614E-11	
1.177E+2	-1.006E-1	2.365E-11	
1.181E+2	-6.038E-2	1.929E-11	
1.183E+2	-2.013E-2	1.696E-11	
1.186E+2	2.013E-2	1.863E-11	
1.189E+2	6.038E-2	1.852E-11	
1.193E+2	1.006E-1	1.737E-11	
1.195E+2	1.409E-1	2.229E-11	
1.199E+2	1.811E-1	1.655E-11	
1.201E+2	2.214E-1	2.052E-11	
1.204E+2	2.616E-1	2.038E-11	
1.207E+2	3.019E-1	1.764E-11	
1.211E+2	3.421E-1	1.669E-11	
1.213E+2	3.824E-1	3.021E-11	
1.216E+2	4.226E-1	2.078E-11	
1.219E+2	4.629E-1	2.525E-11	
1.222E+2	5.031E-1	2.106E-11	
1.225E+2	5.434E-1	1.833E-11	
1.229E+2	5.836E-1	2.079E-11	
1.232E+2	6.239E-1	2.557E-11	
1.235E+2	6.642E-1	1.792E-11	
1.237E+2	7.044E-1	2.793E-11	
1.240E+2	7.447E-1	2.161E-11	
1.243E+2	7.849E-1	-6.759E-11	
1.246E+2	8.252E-1	1.081E-11	
1.249E+2	8.654E-1	2.148E-11	
1.252E+2	9.057E-1	2.261E-11	
1.255E+2	9.459E-1	2.363E-11	
1.258E+2	9.862E-1	2.407E-11	
1.261E+2	1.026E+0	2.566E-11	
1.264E+2	1.067E+0	2.598E-11	
1.267E+2	1.107E+0	2.735E-11	
1.270E+2	1.147E+0	2.666E-11	
1.273E+2	1.187E+0	2.803E-11	
1.276E+2	1.228E+0	2.885E-11	
1.279E+2	1.268E+0	3.185E-11	
1.283E+2	1.308E+0	3.472E-11	
1.285E+2	1.348E+0	3.554E-11	
1.289E+2	1.389E+0	3.418E-11	
1.291E+2	1.429E+0	3.951E-11	
1.294E+2	1.469E+0	4.087E-11	
1.297E+2	1.509E+0	4.101E-11	
1.300E+2	1.550E+0	4.251E-11	
1.303E+2	1.590E+0	4.456E-11	
1.306E+2	1.630E+0	4.470E-11	
1.309E+2	1.670E+0	4.470E-11	
1.312E+2	1.711E+0	4.652E-11	
1.315E+2	1.751E+0	5.235E-11	
1.319E+2	1.791E+0	5.291E-11	
1.321E+2	1.831E+0	6.109E-11	
1.325E+2	1.872E+0	6.218E-11	
1.327E+2	1.912E+0	8.568E-11	
1.330E+2	1.952E+0	6.956E-11	
1.333E+2	1.992E+0	7.475E-11	
1.336E+2	2.033E+0	8.254E-11	
1.346E+2	2.073E+0	3.390E-10	
1.348E+2	2.113E+0	3.890E-10	
1.351E+2	2.153E+0	4.275E-10	
1.354E+2	2.194E+0	5.030E-10	
1.364E+2	2.234E+0	4.231E-4	
1.368E+2	2.274E+0	3.631E-8	
1.369E+2	2.314E+0	2.801E-8	
1.372E+2	2.355E+0	2.045E-8	
1.375E+2	2.395E+0	1.423E-8	
1.378E+2	2.435E+0	1.354E-8	
1.383E+2	2.475E+0	6.595E-9	
1.384E+2	2.516E+0	6.464E-9	
1.387E+2	2.556E+0	7.167E-9	
1.392E+2	2.596E+0	1.702E-8	
1.393E+2	2.636E+0	1.848E-8	
1.396E+2	2.677E+0	2.413E-8	
1.399E+2	2.717E+0	2.835E-8	
1.402E+2	2.757E+0	3.401E-8	
1.406E+2	2.797E+0	4.541E-8	
1.409E+2	2.838E+0	5.767E-8	
1.411E+2	2.878E+0	6.698E-8	
1.414E+2	2.918E+0	7.517E-8	
1.418E+2	2.958E+0	9.299E-8	
1.421E+2	2.999E+0	1.279E-7	
1.424E+2	3.039E+0	1.414E-7	
1.427E+2	3.079E+0	2.049E-7	
1.429E+2	3.119E+0	2.855E-7	
1.433E+2	3.160E+0	2.882E-7	
1.435E+2	3.200E+0	3.965E-7	
#Sweep: 003
1.438E+2	3.200E+0	4.070E-7	
1.442E+2	3.160E+0	4.259E-7	
1.444E+2	3.119E+0	4.666E-7	
1.447E+2	3.079E+0	3.622E-7	
1.450E+2	3.039E+0	5.334E-7	
