Time [S]	Voltage [V]	Current [A]	
#Sweep: 000
2.493E-1	-2.123E-15	8.254E-11	
5.485E-1	-4.000E-2	-1.212E-11	
8.518E-1	-8.000E-2	-2.183E-11	
1.143E+0	-1.200E-1	-2.377E-11	
1.450E+0	-1.600E-1	-2.292E-11	
1.748E+0	-2.000E-1	-4.041E-11	
2.039E+0	-2.400E-1	-2.519E-11	
2.352E+0	-2.800E-1	-2.662E-11	
2.653E+0	-3.200E-1	-2.429E-11	
2.949E+0	-3.600E-1	-2.645E-11	
3.253E+0	-4.000E-1	-2.402E-11	
3.552E+0	-4.400E-1	-2.785E-11	
3.853E+0	-4.800E-1	-2.470E-11	
4.152E+0	-5.200E-1	-2.894E-11	
4.438E+0	-5.600E-1	-2.699E-11	
4.739E+0	-6.000E-1	-2.512E-11	
5.038E+0	-6.400E-1	-2.750E-11	
5.358E+0	-6.800E-1	-2.597E-11	
5.680E+0	-7.200E-1	-3.194E-11	
5.949E+0	-7.600E-1	-3.713E-11	
6.237E+0	-8.000E-1	-3.004E-11	
6.553E+0	-8.400E-1	-3.374E-11	
6.837E+0	-8.800E-1	-3.226E-11	
7.153E+0	-9.200E-1	-3.181E-11	
7.453E+0	-9.600E-1	-3.204E-11	
7.764E+0	-1.000E+0	-3.645E-11	
8.037E+0	-1.040E+0	-3.733E-11	
8.337E+0	-1.080E+0	-3.474E-11	
8.638E+0	-1.120E+0	-3.485E-11	
8.959E+0	-1.160E+0	-3.891E-11	
9.237E+0	-1.200E+0	-3.739E-11	
9.617E+0	-1.240E+0	-3.700E-11	
9.878E+0	-1.280E+0	-4.573E-11	
1.015E+1	-1.320E+0	-4.169E-11	
1.044E+1	-1.360E+0	-4.144E-11	
1.075E+1	-1.400E+0	-3.485E-11	
1.104E+1	-1.440E+0	-3.982E-11	
1.135E+1	-1.480E+0	-3.630E-11	
1.169E+1	-1.520E+0	-3.467E-11	
1.199E+1	-1.560E+0	-4.860E-11	
1.224E+1	-1.600E+0	-5.057E-11	
1.254E+1	-1.640E+0	-3.644E-11	
1.285E+1	-1.680E+0	-3.699E-11	
1.315E+1	-1.720E+0	-4.632E-11	
1.347E+1	-1.760E+0	-5.584E-11	
1.374E+1	-1.800E+0	-4.077E-11	
1.405E+1	-1.840E+0	-3.713E-11	
1.435E+1	-1.880E+0	-4.296E-11	
1.464E+1	-1.920E+0	-4.244E-11	
1.495E+1	-1.960E+0	-4.285E-11	
1.524E+1	-2.000E+0	-4.656E-11	
1.555E+1	-2.040E+0	-5.329E-11	
1.584E+1	-2.080E+0	-6.213E-11	
1.615E+1	-2.120E+0	-5.175E-11	
1.644E+1	-2.160E+0	-5.209E-11	
1.675E+1	-2.200E+0	-5.516E-11	
1.704E+1	-2.240E+0	-5.833E-11	
1.735E+1	-2.280E+0	-7.128E-11	
1.765E+1	-2.320E+0	-7.034E-11	
1.794E+1	-2.360E+0	-6.971E-11	
1.824E+1	-2.400E+0	-8.035E-11	
1.915E+1	-2.440E+0	-2.241E-10	
1.944E+1	-2.480E+0	-3.753E-10	
