Time [S]	Voltage [V]	Current [A]	
#Sweep: 000
8.741E-1	2.123E-15	-8.194E-12	
1.074E+0	4.000E-2	1.345E-11	
1.374E+0	8.000E-2	5.425E-12	
1.674E+0	1.200E-1	5.623E-12	
1.974E+0	1.600E-1	5.900E-12	
2.274E+0	2.000E-1	5.264E-12	
2.574E+0	2.400E-1	4.982E-12	
2.874E+0	2.800E-1	5.398E-12	
3.174E+0	3.200E-1	5.485E-12	
3.474E+0	3.600E-1	5.213E-12	
3.774E+0	4.000E-1	5.897E-12	
4.074E+0	4.400E-1	5.897E-12	
4.374E+0	4.800E-1	5.487E-12	
4.674E+0	5.200E-1	6.443E-12	
4.974E+0	5.600E-1	6.990E-12	
5.274E+0	6.000E-1	6.307E-12	
5.574E+0	6.400E-1	5.897E-12	
5.874E+0	6.800E-1	7.673E-12	
6.174E+0	7.200E-1	7.536E-12	
6.474E+0	7.600E-1	7.673E-12	
6.774E+0	8.000E-1	8.356E-12	
7.074E+0	8.400E-1	8.493E-12	
7.374E+0	8.800E-1	7.673E-12	
7.674E+0	9.200E-1	9.176E-12	
7.974E+0	9.600E-1	1.013E-11	
8.274E+0	1.000E+0	1.027E-11	
8.574E+0	1.040E+0	1.123E-11	
8.874E+0	1.080E+0	1.259E-11	
9.174E+0	1.120E+0	1.368E-11	
9.474E+0	1.160E+0	1.464E-11	
9.776E+0	1.200E+0	1.546E-11	
1.007E+1	1.240E+0	1.683E-11	
1.037E+1	1.280E+0	1.737E-11	
1.067E+1	1.320E+0	2.052E-11	
1.097E+1	1.360E+0	2.475E-11	
1.127E+1	1.400E+0	2.625E-11	
1.157E+1	1.440E+0	2.953E-11	
1.187E+1	1.480E+0	3.418E-11	
1.217E+1	1.520E+0	3.281E-11	
1.247E+1	1.560E+0	3.855E-11	
1.277E+1	1.600E+0	3.964E-11	
1.307E+1	1.640E+0	4.115E-11	
1.337E+1	1.680E+0	3.937E-11	
1.367E+1	1.720E+0	4.347E-11	
1.397E+1	1.760E+0	5.522E-11	
1.427E+1	1.800E+0	5.071E-11	
1.457E+1	1.840E+0	6.246E-11	
1.487E+1	1.880E+0	6.205E-11	
1.517E+1	1.920E+0	7.066E-11	
1.547E+1	1.960E+0	6.219E-11	
1.577E+1	2.000E+0	6.437E-11	
1.607E+1	2.040E+0	7.612E-11	
1.637E+1	2.080E+0	7.025E-11	
1.667E+1	2.120E+0	7.230E-11	
1.697E+1	2.160E+0	7.995E-11	
1.787E+1	2.200E+0	2.701E-10	
1.817E+1	2.240E+0	3.262E-10	
1.847E+1	2.280E+0	3.723E-10	
1.877E+1	2.320E+0	3.596E-10	
1.907E+1	2.360E+0	3.931E-10	
1.937E+1	2.400E+0	5.011E-10	
1.967E+1	2.440E+0	5.457E-10	
1.997E+1	2.480E+0	9.575E-10	
2.042E+1	2.520E+0	1.387E-9	
2.057E+1	2.560E+0	1.570E-9	
2.087E+1	2.600E+0	1.057E-9	
2.117E+1	2.640E+0	1.263E-9	
2.147E+1	2.680E+0	1.273E-9	
2.177E+1	2.720E+0	1.654E-9	
2.207E+1	2.760E+0	2.283E-9	
2.237E+1	2.800E+0	2.986E-9	
2.267E+1	2.840E+0	2.996E-9	
2.297E+1	2.880E+0	4.194E-9	
2.342E+1	2.920E+0	3.394E-8	
2.357E+1	2.960E+0	3.339E-8	
2.387E+1	3.000E+0	1.662E-8	
2.417E+1	3.040E+0	2.352E-8	
2.447E+1	3.080E+0	2.689E-8	
2.477E+1	3.120E+0	3.229E-8	
2.507E+1	3.160E+0	3.003E-8	
2.537E+1	3.200E+0	3.620E-8	
#Sweep: 001
2.567E+1	3.200E+0	4.702E-8	
2.597E+1	3.160E+0	3.314E-8	
2.627E+1	3.120E+0	2.637E-8	
2.657E+1	3.080E+0	2.904E-8	
2.687E+1	3.040E+0	3.922E-8	
2.717E+1	3.000E+0	3.728E-8	
2.747E+1	2.960E+0	4.210E-8	
2.778E+1	2.920E+0	3.864E-8	
2.807E+1	2.880E+0	5.253E-8	
2.837E+1	2.840E+0	5.830E-8	
2.867E+1	2.800E+0	4.210E-8	
2.897E+1	2.760E+0	2.765E-8	
2.931E+1	2.720E+0	2.044E-8	
2.957E+1	2.680E+0	1.771E-8	
2.987E+1	2.640E+0	1.850E-8	
3.017E+1	2.600E+0	1.406E-8	
3.047E+1	2.560E+0	1.516E-8	
3.077E+1	2.520E+0	1.445E-8	
3.107E+1	2.480E+0	1.307E-8	
3.137E+1	2.440E+0	1.273E-8	
3.167E+1	2.400E+0	1.316E-8	
3.197E+1	2.360E+0	1.346E-8	
3.227E+1	2.320E+0	1.207E-8	
3.272E+1	2.280E+0	6.132E-9	
3.287E+1	2.240E+0	6.691E-9	
3.317E+1	2.200E+0	5.955E-9	
3.348E+1	2.160E+0	5.388E-9	
3.377E+1	2.120E+0	5.285E-9	
3.407E+1	2.080E+0	4.004E-9	
3.437E+1	2.040E+0	3.278E-9	
3.467E+1	2.000E+0	3.039E-9	
3.497E+1	1.960E+0	3.304E-9	
3.527E+1	1.920E+0	2.782E-9	
3.557E+1	1.880E+0	2.760E-9	
3.587E+1	1.840E+0	2.510E-9	
3.617E+1	1.800E+0	2.287E-9	
3.647E+1	1.760E+0	2.047E-9	
3.677E+1	1.720E+0	2.081E-9	
3.707E+1	1.680E+0	1.757E-9	
3.737E+1	1.640E+0	1.619E-9	
3.767E+1	1.600E+0	1.511E-9	
3.797E+1	1.560E+0	1.379E-9	
3.827E+1	1.520E+0	1.246E-9	
3.857E+1	1.480E+0	1.073E-9	
3.962E+1	1.440E+0	1.104E-9	
4.052E+1	1.400E+0	9.528E-10	
4.142E+1	1.360E+0	8.937E-10	
4.232E+1	1.320E+0	7.528E-10	
4.322E+1	1.280E+0	6.663E-10	
4.397E+1	1.240E+0	9.806E-10	
4.427E+1	1.200E+0	9.293E-10	
4.457E+1	1.160E+0	8.936E-10	
4.487E+1	1.120E+0	8.119E-10	
4.517E+1	1.080E+0	7.527E-10	
4.547E+1	1.040E+0	6.944E-10	
4.577E+1	1.000E+0	5.717E-10	
4.607E+1	9.600E-1	5.057E-10	
4.637E+1	9.200E-1	4.772E-10	
4.667E+1	8.800E-1	4.183E-10	
4.697E+1	8.400E-1	3.689E-10	
4.727E+1	8.000E-1	3.282E-10	
4.757E+1	7.600E-1	2.719E-10	
4.787E+1	7.200E-1	2.389E-10	
4.817E+1	6.800E-1	1.930E-10	
4.847E+1	6.400E-1	1.602E-10	
4.877E+1	6.000E-1	1.365E-10	
4.907E+1	5.600E-1	1.216E-10	
4.997E+1	5.200E-1	2.270E-11	
5.027E+1	4.800E-1	5.620E-12	
5.057E+1	4.400E-1	-3.909E-13	
5.087E+1	4.000E-1	-4.216E-12	
5.117E+1	3.600E-1	-6.947E-12	
5.147E+1	3.200E-1	-1.050E-11	
5.177E+1	2.800E-1	-1.282E-11	
5.207E+1	2.400E-1	-1.501E-11	
5.237E+1	2.000E-1	-1.842E-11	
5.267E+1	1.600E-1	-2.047E-11	
5.297E+1	1.200E-1	-2.197E-11	
5.327E+1	8.000E-2	-2.388E-11	
5.357E+1	4.000E-2	-2.470E-11	
5.387E+1	2.123E-15	-2.552E-11	
5.417E+1	-4.000E-2	-2.648E-11	
5.448E+1	-8.000E-2	-2.798E-11	
5.477E+1	-1.200E-1	-2.812E-11	
5.507E+1	-1.600E-1	-2.853E-11	
5.537E+1	-2.000E-1	-3.017E-11	
5.567E+1	-2.400E-1	-3.030E-11	
5.597E+1	-2.800E-1	-3.140E-11	
5.627E+1	-3.200E-1	-3.249E-11	
5.657E+1	-3.600E-1	-2.912E-11	
5.687E+1	-4.000E-1	-3.303E-11	
5.717E+1	-4.400E-1	-4.368E-11	
5.749E+1	-4.800E-1	-4.150E-11	
5.777E+1	-5.200E-1	-4.508E-11	
5.807E+1	-5.600E-1	-3.637E-11	
5.837E+1	-6.000E-1	-3.408E-11	
5.868E+1	-6.400E-1	-3.400E-11	
5.900E+1	-6.800E-1	-3.659E-11	
5.927E+1	-7.200E-1	-3.823E-11	
5.958E+1	-7.600E-1	-3.498E-11	
5.987E+1	-8.000E-1	-3.612E-11	
6.018E+1	-8.400E-1	-3.758E-11	
6.047E+1	-8.800E-1	-4.031E-11	
6.077E+1	-9.200E-1	-3.827E-11	
6.107E+1	-9.600E-1	-3.550E-11	
6.137E+1	-1.000E+0	-3.517E-11	
6.167E+1	-1.040E+0	-3.385E-11	
6.197E+1	-1.080E+0	-3.468E-11	
6.227E+1	-1.120E+0	-3.581E-11	
6.257E+1	-1.160E+0	-3.579E-11	
6.287E+1	-1.200E+0	-3.742E-11	
6.317E+1	-1.240E+0	-5.323E-11	
6.347E+1	-1.280E+0	-4.273E-11	
6.377E+1	-1.320E+0	-4.441E-11	
6.407E+1	-1.360E+0	-4.339E-11	
6.437E+1	-1.400E+0	-4.431E-11	
6.467E+1	-1.440E+0	-4.447E-11	
6.497E+1	-1.480E+0	-4.711E-11	
6.527E+1	-1.520E+0	-5.031E-11	
6.557E+1	-1.560E+0	-5.144E-11	
6.587E+1	-1.600E+0	-5.658E-11	
6.617E+1	-1.640E+0	-5.939E-11	
6.647E+1	-1.680E+0	-5.736E-11	
6.677E+1	-1.720E+0	-5.787E-11	
6.707E+1	-1.760E+0	-6.582E-11	
6.737E+1	-1.800E+0	-7.417E-11	
6.767E+1	-1.840E+0	-7.233E-11	
6.797E+1	-1.880E+0	-7.591E-11	
6.827E+1	-1.920E+0	-8.174E-11	
6.857E+1	-1.960E+0	-8.405E-11	
6.887E+1	-2.000E+0	-9.333E-11	
6.917E+1	-2.040E+0	-9.897E-11	
7.007E+1	-2.080E+0	-3.632E-10	
7.038E+1	-2.120E+0	-4.685E-10	
7.067E+1	-2.160E+0	-5.944E-10	
7.097E+1	-2.200E+0	-6.888E-10	
7.127E+1	-2.240E+0	-8.070E-10	
7.157E+1	-2.280E+0	-8.759E-10	
7.187E+1	-2.320E+0	-9.480E-10	
7.232E+1	-2.360E+0	-8.607E-10	
7.322E+1	-2.400E+0	-7.692E-10	
7.412E+1	-2.440E+0	-8.181E-10	
7.502E+1	-2.480E+0	-1.014E-9	
7.517E+1	-2.520E+0	-1.009E-9	
